"","","","Year","Flow",""
"","China (People's Republic of) [CN]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","15 778 498 149","8 034 363 319","7 744 134 830"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","4 335 048 354","3 392 589 156","942 459 198"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","268 506 605","24 977 962","243 528 643"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","40 052 099 699","27 786 386 547","12 265 713 152"
"","","[854232] Electronic integrated circuits; memories","11 502 809 488","2 170 479 745","9 332 329 744"
"","","[854233] Electronic integrated circuits; amplifiers","1 911 682 196","1 128 735 587","782 946 609"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","35 955 515 922","10 007 495 274","25 948 020 648"
"","","[854290] Parts of electronic integrated circuits","4 628 335 938","1 893 939 245","2 734 396 693"
"","Christmas Islands [CX]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","297","","297"
"","Cocos Islands (or Keeling Islands) [CC]","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","10 903","","10 903"
"","","[854232] Electronic integrated circuits; memories","4 008","","4 008"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","3 393","","3 393"
"","Colombia [CO]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","188 922","55 972","132 949"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","416 462","359 570","56 892"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","2 163 927","2 163 773","154"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","1 670 654","1 554 545","116 109"
"","","[854232] Electronic integrated circuits; memories","421 920","","421 920"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","508 328","506 892","1 436"
"","","[854290] Parts of electronic integrated circuits","10 556","10 248","308"
